Word,Prefix_Stem,Prefix_Suffix,Suffix_Stem,Suffix_Suffix
investigation,in,vestigation,investigati,on
primary,p,rimary,primar,y
election,e,lection,electi,on
evidence,e,vidence,evidenc,e
irregularities,i,rregularities,irregularitie,s
place,p,lace,plac,e
jury,ju,ry,jur,y
presentments,p,resentments,presentment,s
charge,c,harge,charg,e
election,e,lection,electi,on
praise,p,raise,prais,e
thanks,t,hanks,thank,s
manner,ma,nner,mann,er
election,e,lection,electi,on
term,te,rm,ter,m
jury,ju,ry,jur,y
reports,re,ports,report,s
irregularities,i,rregularities,irregularitie,s
primary,p,rimary,primar,y
handful,ha,ndful,handfu,l
reports,re,ports,report,s
jury,ju,ry,jur,y
interest,in,terest,interes,t
election,e,lection,electi,on
number,nu,mber,numb,er
voters,vo,ters,voter,s
size,s,ize,siz,e
city,c,ity,cit,y
jury,ju,ry,jur,y
registration,re,gistration,registrati,on
election,e,lection,electi,on
laws,la,ws,law,s
legislators,le,gislators,legislator,s
laws,la,ws,law,s
end,e,nd,en,d
jury,ju,ry,jur,y
number,nu,mber,numb,er
topics,to,pics,topic,s
departments,de,partments,department,s
practices,p,ractices,practice,s
interest,in,terest,interes,t
governments,g,overnments,government,s
jury,ju,ry,jur,y
offices,o,ffices,office,s
efficiency,e,fficiency,efficienc,y
cost,co,st,cos,t
administration,a,dministration,administrati,on
jury,ju,ry,jur,y
personnel,p,ersonnel,personn,el
result,re,sult,resul,t
city,c,ity,cit,y
personnel,p,ersonnel,personn,el
policies,po,licies,policie,s
city,c,ity,cit,y
steps,s,teps,step,s
problem,pro,blem,proble,m
Implementation,I,mplementation,Implementati,on
automobile,a,utomobile,automobil,e
title,t,itle,titl,e
law,la,w,l,aw
jury,ju,ry,jur,y
funds,f,unds,fund,s
date,da,te,dat,e
implementation,i,mplementation,implementati,on
law,la,w,l,aw
jury,ju,ry,jur,y
swipe,s,wipe,swip,e
handling,ha,ndling,handl,ing
funds,f,unds,fund,s
child,c,hild,chil,d
welfare,we,lfare,welfar,e
services,s,ervices,service,s
homes,ho,mes,home,s
items,i,tems,item,s
assistance,a,ssistance,assistanc,e
program,pro,gram,progra,m
jury,ju,ry,jur,y
funds,f,unds,fund,s
welfare,we,lfare,welfar,e
departments,de,partments,department,s
counties,co,unties,countie,s
state,s,tate,stat,e
exception,e,xception,excepti,on
money,m,oney,mone,y
jurors,ju,rors,juror,s
distribution,dis,tribution,distributi,on
funds,f,unds,fund,s
program,pro,gram,progra,m
counties,co,unties,countie,s
future,f,uture,futur,e
portion,po,rtion,porti,on
funds,f,unds,fund,s
jurors,ju,rors,juror,s
Failure,F,ailure,Failur,e
burden,bu,rden,burd,en
taxpayers,ta,xpayers,taxpayer,s
jury,ju,ry,jur,y
court,co,urt,cour,t
fire,fi,re,fir,e
practices,p,ractices,practice,s
appointment,a,ppointment,appointmen,t
appraisers,a,ppraisers,appraiser,s
guardians,g,uardians,guardian,s
administrators,a,dministrators,administrator,s
awarding,a,warding,award,ing
fees,fe,es,fee,s
compensation,co,mpensation,compensati,on
jury,ju,ry,jur,y
court,co,urt,cour,t
procedures,pro,cedures,procedure,s
recommendations,re,commendations,recommendation,s
juries,ju,ries,jurie,s
interim,in,terim,interi,m
citizens,c,itizens,citizen,s
committee,co,mmittee,committe,e
actions,a,ctions,action,s
fact,fa,ct,fac,t
effect,e,ffect,effec,t
wards,wa,rds,ward,s
